LINK_ID,F_NODE,T_NODE,LANES,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,ROAD_USE,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,LENGTH,REMARK
"4050058800","4050009600","4050023100","1","107","000","-",대통길,"0","0","000","50","0","0","0",1420.57420000000,
"4050058900","4050023200","4050024800","1","107","000","-",정존9길,"0","0","000","40","0","0","0",71.55690000000,
"4050059000","4050024800","4050023200","1","107","000","-",정존9길,"0","0","000","40","0","0","0",69.64830000000,
"4050059100","4050023200","4050025700","1","107","000","-",정존1길,"0","0","000","40","0","0","0",116.17780000000,
"4050059200","4050025700","4050023200","1","107","000","-",정존1길,"0","0","000","40","0","0","0",116.71640000000,
"4050059300","4050023300","4050004800","3","107","000","-",연북로,"0","0","000","60","0","0","0",160.86740000000,
"4050059400","4050004800","4050023300","3","107","000","-",연북로,"0","0","000","60","0","0","0",160.93080000000,
"4050059500","4050023400","4050023300","3","107","000","-",연북로,"0","0","000","60","0","0","0",172.45690000000,
"4050059600","4050023300","4050023400","3","107","000","-",연북로,"0","0","000","60","0","0","0",171.75930000000,
"4050059700","4050023300","4050025000","2","107","000","-",신대로,"0","0","000","60","0","0","0",66.10370000000,
"4050059800","4050025000","4050023300","2","107","000","-",신대로,"0","0","000","60","0","0","0",69.19910000000,
"4050059900","4050023600","4050023400","3","107","000","-",연북로,"0","0","000","60","0","0","0",296.28680000000,
"4050060000","4050023400","4050023600","3","107","000","-",연북로,"0","0","000","60","0","0","0",296.28650000000,
"4050060100","4050023400","4050025200","1","107","000","-",연동12길,"0","0","000","50","0","0","0",54.13380000000,
"4050060200","4050025200","4050023400","1","107","000","-",연동12길,"0","0","000","50","0","0","0",54.26810000000,
"4050060300","4050023500","4050031200","3","107","000","-",월광로,"0","0","000","60","0","0","0",515.16040000000,
"4050060400","4050031200","4050023500","3","107","000","-",월광로,"0","0","000","60","0","0","0",522.34330000000,
"4050060502","4050023501","4050011100","2","107","000","-",오광로,"0","0","000","60","0","0","0",403.04580000000,
"4050060503","4050023500","4050023502","2","107","000","-",오광로,"0","0","000","60","0","0","0",932.10240000000,
"4050060505","4050023502","4050023503","2","107","000","-",오광로,"0","0","000","60","0","0","0",175.54110000000,
"4050060506","4050023503","4050023501","2","107","000","-",오광로,"0","0","000","60","0","0","0",210.83420000000,
"4050060601","4050011100","4050023501","2","107","000","-",오광로,"0","0","000","60","0","0","0",394.91870000000,
"4050060604","4050023502","4050023500","2","107","000","-",오광로,"0","0","000","60","0","0","0",934.60120000000,
"4050060605","4050023501","4050023503","2","107","000","-",오광로,"0","0","000","60","0","0","0",210.92390000000,
"4050060606","4050023503","4050023502","2","107","000","-",오광로,"0","0","000","60","0","0","0",175.49490000000,
"4050060700","4050004900","4050025800","1","107","000","-",정존3길,"0","0","000","50","0","0","0",80.71630000000,
"4050060800","4050025800","4050004900","1","107","000","-",정존3길,"0","0","000","50","0","0","0",86.41810000000,
"4050060900","4050023800","4050023600","3","107","000","-",연북로,"0","0","000","60","0","0","0",241.07110000000,
"4050061000","4050023600","4050023800","3","107","000","-",연북로,"0","0","000","60","0","0","0",241.07070000000,
"4050061100","4050023600","4050025400","2","107","003","-",신광로,"0","0","000","60","0","0","0",57.59560000000,
"4050061200","4050025400","4050023600","2","107","003","-",신광로,"0","0","000","60","0","0","0",57.59570000000,
"4050061300","4050023700","4050024600","2","107","003","-",우평로,"0","0","000","50","0","0","0",66.00670000000,
"4050061400","4050024600","4050023700","2","107","003","-",우평로,"0","0","000","50","0","0","0",65.37920000000,
"4050061500","4050023900","4050023800","3","107","000","-",연북로,"0","0","000","60","0","0","0",61.97090000000,
"4050061600","4050023800","4050023900","3","107","000","-",연북로,"0","0","000","60","0","0","0",62.60980000000,
"4050061700","4050024100","4050023900","3","107","000","-",연북로,"0","0","000","60","0","0","0",163.85470000000,
"4050061800","4050023900","4050024100","3","107","000","-",연북로,"0","0","000","60","0","0","0",163.85150000000,
"4050061900","4050023900","4050025600","1","107","000","-",연북로,"0","0","000","50","0","0","0",60.08430000000,
