NODE_ID,NODE_TYPE,NODE_NAME,lat,long,NODE_ID_OLD
3431,101,신평삼거리,33.265,126.259,4060100400.0
3432,103,속성변화점,33.228,126.26,4060100500.0
3433,101,제주우유대정안덕대리점,33.223,126.26,4060100600.0
3434,101,상모2교차로,33.228,126.26,4060100700.0
3435,101,대정고교차로,33.231,126.262,4060100800.0
3436,101,보성리교차로,33.262,126.263,4060100900.0
3437,103,속성변화점,33.211,126.263,4060101000.0
3438,101,보성리사거리,33.247,126.264,4060101100.0
3439,101,공군관사,33.226,126.265,4060101200.0
3440,101,상모1교차로,33.233,126.265,4060101300.0
3441,101,아름문구사,33.227,126.265,4060101400.0
3442,101,산이수동입구교차로,33.225,126.266,4060101500.0
3443,101,상모리2733-2,33.221,126.267,4060101600.0
3444,101,대성알미늄,33.226,126.268,4060101700.0
3445,102,상모리1871-4,33.211,126.269,4060101800.0
3446,101,상모리4165,33.22,126.269,4060101900.0
3447,101,상모리2536-2,33.227,126.27,4060102000.0
3448,103,속성변화점,33.226,126.27,4060102100.0
3449,101,이교동삼거리,33.226,126.272,4060102200.0
3450,101,보성리538-8,33.269,126.272,4060102300.0
3451,101,보성리삼거리,33.254,126.272,4060102400.0
3452,101,보성리2479,33.282,126.272,4060102500.0
3453,103,속성변화점,33.226,126.273,4060102600.0
3454,101,보성리2479,33.28,126.273,4060102700.0
3455,101,보성리2479,33.279,126.274,4060102800.0
3456,101,보성리사무소,33.251,126.274,4060102900.0
3457,101,보성리2479,33.283,126.275,4060103000.0
3458,101,남문지못앞,33.246,126.275,4060103100.0
3459,101,상모리1683-4,33.201,126.277,4060103200.0
3460,101,보성초교입구교차로,33.248,126.277,4060103300.0
3461,101,보성초등학교앞,33.25,126.277,4060103400.0
3462,101,보성리2479,33.284,126.277,4060103500.0
3463,103,속성변화점,33.25,126.279,4060103600.0
3464,101,구억리삼거리,33.271,126.279,4060103700.0
3465,101,추사교차로,33.248,126.279,4060103800.0
3466,101,서귀포안성우체국,33.25,126.279,4060103900.0
3467,101,구억리복지회관,33.273,126.279,4060104000.0
3468,101,보성리2479,33.285,126.279,4060104100.0
3469,101,보성리151,33.281,126.28,4060104200.0
3470,103,속성변화점,33.251,126.28,4060104300.0
3471,103,속성변화점,33.213,126.281,4060104400.0
3472,103,속성변화점,33.275,126.281,4060104500.0
3473,101,보성리1185,33.286,126.281,4060104600.0
3474,101,구억리1185,33.282,126.282,4060104700.0
3475,101,구억리1185,33.288,126.283,4060104800.0
3476,101,안성교차로,33.25,126.283,4060104900.0
3477,103,속성변화점,33.202,126.284,4060105000.0
3478,101,안성교차로,33.25,126.284,4060105100.0
3479,101,구억리1185,33.29,126.284,4060105200.0
3480,101,안성3교차로,33.254,126.284,4060105300.0
3481,101,구억리1185,33.292,126.285,4060105400.0
3482,101,구억리1185,33.283,126.285,4060105500.0
3483,101,구억리1078,33.296,126.286,4060105600.0
3484,101,구억리1185,33.294,126.287,4060105700.0
3485,101,안성2교차로,33.257,126.287,4060105800.0
3486,101,안성리2038,33.26,126.287,4060105900.0
3487,101,구억리1185,33.287,126.287,4060106000.0
3488,105,제주시-서귀포시,33.306,126.287,4060106100.0
3489,101,사계입구교차로,33.227,126.289,4060106200.0
3490,101,영어교육도시1교차로,33.305,126.288,4060106300.0
3491,101,카페베네제주송악산점,33.207,126.289,4060106400.0
3492,101,올레친구펜션앞,33.209,126.29,4060106500.0
3493,101,CU제주송악산점,33.208,126.29,4060106600.0
3494,101,어꿈앞,33.208,126.291,4060106700.0
3495,101,성창수산,33.211,126.291,4060106800.0
3496,101,안성1교차로,33.263,126.292,4060106900.0
3497,101,사계리3227-3,33.233,126.292,4060107000.0
3498,101,상모리7-1,33.214,126.292,4060107100.0
3499,101,수출관리농산물집하장,33.23,126.292,4060107200.0
3500,101,임꺽정,33.213,126.293,4060107300.0
3501,101,서광서리2교차로,33.299,126.294,4060107400.0
3502,103,속성변화점,33.282,126.297,4060107500.0
3503,103,속성변화점,33.231,126.297,4060107600.0
3504,101,사계알미늄샷시,33.236,126.297,4060107700.0
3505,103,속성변화점,33.232,126.298,4060107800.0
3506,101,사계리복지회관,33.231,126.298,4060107900.0
3507,101,서광서리3교차로,33.291,126.3,4060108000.0
3508,101,사계리3578,33.24,126.3,4060108100.0
3509,103,속성변화점,33.227,126.302,4060108200.0
3510,101,서광서리교차로,33.286,126.302,4060108300.0
3511,101,서광리1922-1,33.286,126.302,4060108400.0
3512,103,속성변화점,33.233,126.302,4060108500.0
3513,101,구억리84-1,33.273,126.302,4060108600.0
3514,101,서광리1906-10,33.286,126.302,4060108700.0
3515,101,사계리3578,33.246,126.303,4060108800.0
3516,101,덕수초교앞교차로,33.251,126.304,4060108900.0
3517,101,제주해조대펜션,33.275,126.304,4060109000.0
3518,103,속성변화점,33.252,126.304,4060109100.0
3519,101,덕수1교차로,33.274,126.304,4060109200.0
3520,101,산방마트,33.243,126.305,4060109300.0
3521,101,삼거리슈퍼앞,33.254,126.305,4060109400.0
3522,101,사계180도,33.238,126.307,4060109500.0
3523,101,서광리산35-7,33.303,126.307,4060109600.0
3524,101,사계리앞교차로,33.235,126.308,4060109700.0
3525,101,덕수2교차로,33.251,126.308,4060109800.0
3526,101,신화역사2교차로,33.309,126.308,4060109900.0
3527,101,미도식당,33.235,126.309,4060110000.0
3528,101,천지대안도,33.254,126.31,4060110100.0
3529,101,천지대안도,33.254,126.31,4060110200.0
3530,102,CU제주용머리점,33.233,126.311,4060110300.0
3531,101,덕수2교차로,33.275,126.311,4060110400.0
3532,101,산방산삼거리,33.236,126.312,4060110500.0
3533,101,덕수1교차로,33.251,126.315,4060110600.0
3534,101,제주신화월드,33.303,126.316,4060110700.0
3535,101,덕수리1506-6,33.279,126.317,4060110800.0
3536,101,소인국테마파크앞,33.29,126.319,4060110900.0
3537,101,덕수삼거리,33.25,126.32,4060111000.0
3538,101,화순해안도로,33.241,126.32,4060111100.0
3539,101,덕수리395-1,33.271,126.32,4060111200.0
3540,103,속성변화점,33.281,126.32,4060111300.0
3541,101,신화역사1교차로,33.31,126.32,4060111400.0
3542,101,덕수삼거리,33.25,126.321,4060111500.0
3543,101,덕수리208-1,33.283,126.321,4060111600.0
3544,101,사계리3605,33.249,126.322,4060111700.0
3545,101,아리아드네,33.249,126.322,4060111800.0
3546,101,사계리3602-5,33.251,126.322,4060111900.0
3547,101,덕수리산30,33.251,126.324,4060112000.0
3548,101,사계리3602-3,33.248,126.324,4060112100.0
3549,101,제주조각공원앞,33.251,126.324,4060112200.0
3550,101,서광1교차로,33.289,126.324,4060112300.0
3551,101,코지민박,33.253,126.326,4060112400.0
3552,101,화순리1868-2,33.244,126.327,4060112500.0
3553,101,화순리2122,33.253,126.327,4060112600.0
3554,101,화순리2122,33.253,126.327,4060112700.0
3555,101,화순리2122,33.253,126.328,4060112800.0
3556,101,화순슈퍼앞,33.25,126.335,4060115700.0
3557,101,안덕초등학교앞,33.25,126.336,4060115800.0
3558,101,화순사거리,33.247,126.336,4060115900.0
3559,101,엘림피렌체1차,33.244,126.336,4060116000.0
3560,101,제주해양경찰서화순파출소,33.239,126.336,4060116100.0
3561,101,화순리636-7,33.238,126.337,4060116200.0
3562,103,속성변화점,33.249,126.337,4060116300.0
3563,101,히라히라마우,33.305,126.337,4060116400.0
3564,105,제주시-서귀포시,33.34,126.337,4060116500.0
3565,101,화순리763-1,33.24,126.338,4060116600.0
3566,102,대자연영어조합법인,33.236,126.339,4060116700.0
3567,101,화순리1928,33.244,126.339,4060116800.0
3568,101,양돈협업단지,33.303,126.339,4060116900.0
3569,101,동광리1037-3,33.302,126.339,4060117000.0
3570,101,정낭가든,33.249,126.339,4060117100.0
3571,103,속성변화점,33.307,126.339,4060117200.0
3572,103,속성변화점,33.249,126.34,4060117300.0
3573,101,화순삼거리,33.253,126.341,4060117400.0
3574,101,동광육거리,33.31,126.341,4060117500.0
3575,101,화순삼거리,33.254,126.341,4060117600.0
3576,101,제3동광교,33.305,126.344,4060117700.0
3577,101,제3동광교,33.304,126.344,4060117800.0
3578,101,제2석교동교,33.31,126.345,4060117900.0
3579,101,동광리834-15,33.312,126.346,4060118000.0
3580,101,동광리646-1,33.3,126.346,4060118100.0
3581,103,속성변화점,33.32,126.349,4060118200.0
3582,102,캐슬렉스제주GC,33.341,126.349,4060118300.0
3583,101,동광1교차로,33.321,126.35,4060118400.0
3584,101,제1동광교남측,33.321,126.351,4060118500.0
3585,104,제1동광교북측,33.321,126.351,4060118600.0
3586,101,동광리산32-3,33.323,126.351,4060118700.0
3587,101,안덕계곡삼거리,33.258,126.353,4060118800.0
3588,101,상창리1903-2,33.282,126.353,4060118900.0
3589,104,안덕교북측,33.257,126.354,4060119000.0
3590,101,광평교차로,33.328,126.354,4060119100.0
